p,corstr,subset,alpha_rho,beta_rho,model,num_trees,bias,rpehe,coverage,width
10,exchangeable,B,0.95,2,CL-BART-avg,2,"-0.01 (-0.09, 0.08)","0.04 (0.00, 0.12)","0.94 (0.00, 1.00)","0.19 (0.15, 0.22)"
10,exchangeable,B,0.95,2,CL-BART-avg,5,"-0.01 (-0.09, 0.08)","0.04 (0.00, 0.13)","0.93 (0.00, 1.00)","0.18 (0.16, 0.22)"
10,exchangeable,B,0.95,2,CL-BART-avg,10,"-0.01 (-0.09, 0.07)","0.04 (0.00, 0.09)","0.95 (0.00, 1.00)","0.19 (0.16, 0.23)"
10,exchangeable,C,0.3,3,Oracle CLR,NA,"0.00 (-0.08, 0.09)","0.03 (0.00, 0.10)","0.97 (0.48, 1.00)","0.19 (0.17, 0.20)"
10,exchangeable,C,0.3,3,CL-BART,1,"0.08 (-0.02, 0.13)","0.09 (0.01, 0.14)","0.46 (0.00, 1.00)","0.16 (0.09, 0.27)"
10,exchangeable,C,0.3,3,CL-BART,2,"0.07 (-0.07, 0.14)","0.09 (0.02, 0.14)","0.42 (0.00, 1.00)","0.16 (0.09, 0.26)"
10,exchangeable,C,0.3,3,CL-BART,5,"0.06 (-0.04, 0.13)","0.09 (0.01, 0.14)","0.50 (0.00, 1.00)","0.17 (0.10, 0.27)"
10,exchangeable,C,0.3,3,CL-BART,10,"0.06 (-0.05, 0.12)","0.09 (0.03, 0.15)","0.63 (0.00, 1.00)","0.19 (0.11, 0.29)"
10,exchangeable,C,0.3,3,CL-BART-avg,1,"0.08 (-0.02, 0.13)","0.08 (0.01, 0.13)","0.36 (0.00, 1.00)","0.14 (0.09, 0.25)"
10,exchangeable,C,0.3,3,CL-BART-avg,2,"0.07 (-0.07, 0.14)","0.08 (0.01, 0.14)","0.35 (0.00, 1.00)","0.13 (0.09, 0.25)"
10,exchangeable,C,0.3,3,CL-BART-avg,5,"0.06 (-0.04, 0.13)","0.07 (0.00, 0.13)","0.45 (0.00, 1.00)","0.14 (0.10, 0.24)"
10,exchangeable,C,0.3,3,CL-BART-avg,10,"0.06 (-0.05, 0.12)","0.07 (0.01, 0.13)","0.57 (0.00, 1.00)","0.15 (0.10, 0.23)"
10,exchangeable,C,0.95,2,Oracle CLR,NA,"0.00 (-0.08, 0.09)","0.03 (0.00, 0.10)","0.97 (0.48, 1.00)","0.19 (0.17, 0.20)"
